,Date,Price,Open,High,Low,Vol.,Change %,portid_rizhao,portname_rizhao,country_rizhao,ISO3_rizhao,portcalls_container_rizhao,portcalls_dry_bulk_rizhao,portcalls_general_cargo_rizhao,portcalls_roro_rizhao,portcalls_tanker_rizhao,portcalls_cargo_rizhao,portcalls_rizhao,import_container_rizhao,import_dry_bulk_rizhao,import_general_cargo_rizhao,import_roro_rizhao,import_tanker_rizhao,import_cargo_rizhao,import_rizhao,export_container_rizhao,export_dry_bulk_rizhao,export_general_cargo_rizhao,export_roro_rizhao,export_tanker_rizhao,export_cargo_rizhao,export_rizhao,ObjectId_rizhao,portid_santos,portname_santos,country_santos,ISO3_santos,portcalls_container_santos,portcalls_dry_bulk_santos,portcalls_general_cargo_santos,portcalls_roro_santos,portcalls_tanker_santos,portcalls_cargo_santos,portcalls_santos,import_container_santos,import_dry_bulk_santos,import_general_cargo_santos,import_roro_santos,import_tanker_santos,import_cargo_santos,import_santos,export_container_santos,export_dry_bulk_santos,export_general_cargo_santos,export_roro_santos,export_tanker_santos,export_cargo_santos,export_santos,ObjectId_santos
691,2022-02-24,"1,661.50","1,676.25","1,765.00","1,656.00",70.09K,-0.81%,port1105,Rizhao,China,CHN,2,4,1,0,0,7,7,259.082812198863,76997.0989555379,0.0,0.0,0.0,77256.1817677368,77256.1817677368,3122.78385663748,31174.1964492447,19728.138403077,0.0,0.0,54025.1187089592,54025.1187089592,251706,port1160,Santos,Brazil,BRA,3,3,0,0,3,6,9,10475.3411346998,1352.92088533819,0.0,0.0,13544.6649617634,11828.262020038,25372.9269818014,0.0,39259.3287557021,0.0,0.0,13021.6131073395,39259.3287557021,52280.9418630416,373973
690,2022-02-25,"1,590.25","1,661.50","1,678.50","1,585.50",26.19K,-4.29%,port1105,Rizhao,China,CHN,1,2,1,0,0,4,4,0.0,134264.786973756,878.564493813,0.0,0.0,135143.351467569,135143.351467569,487.269200667499,0.0,0.0,0.0,0.0,487.269200667499,487.269200667499,251707,port1160,Santos,Brazil,BRA,6,7,0,0,0,13,13,16946.3629720934,31281.6282632769,0.0,0.0,0.0,48227.9912353703,48227.9912353703,75707.5634120283,151502.995861618,0.0,0.0,0.0,227210.559273646,227210.559273646,373975
689,2022-02-28,"1,644.25","1,642.50","1,660.75","1,621.00",4.73K,3.40%,port1105,Rizhao,China,CHN,1,4,0,0,0,5,5,0.0,81962.8320780579,0.0,0.0,0.0,81962.8320780579,81962.8320780579,1300.61569839198,49346.9830071053,0.0,0.0,0.0,50647.5987054973,50647.5987054973,251719,port1160,Santos,Brazil,BRA,3,4,2,1,5,10,15,32237.9765778026,40294.8444913147,9837.45236846979,0.0,19181.389833471,82370.273437587,101551.663271058,75905.8686127386,46354.9185620895,10451.5646099441,6637.47737283777,20581.1535432811,139349.82915761,159930.982700891,373981
688,2022-03-01,"1,705.50","1,648.25","1,709.00","1,648.25",1.43K,3.73%,port1105,Rizhao,China,CHN,1,6,0,0,1,7,8,0.0,305864.949580656,0.0,0.0,0.0,305864.949580656,305864.949580656,506.449066233215,16101.0291352222,0.0,0.0,0.0,16607.4782014555,16607.4782014555,251724,port1160,Santos,Brazil,BRA,9,8,1,0,1,18,19,2745.28468991871,10877.106877495,16293.0809878922,0.0,0.0,29915.4725553058,29915.4725553058,76388.9065398662,226434.716249058,0.0,0.0,0.0,302823.622788924,302823.622788924,373983
687,2022-03-02,"1,677.50","1,708.00","1,708.00","1,668.00",1.34K,-1.64%,port1105,Rizhao,China,CHN,1,6,0,0,0,7,7,0.0,45595.2096567086,0.0,0.0,0.0,45595.2096567086,45595.2096567086,0.0,23668.8468696942,0.0,0.0,0.0,23668.8468696942,23668.8468696942,251730,port1160,Santos,Brazil,BRA,5,6,0,0,3,11,14,14993.6357902987,14643.9135729381,0.0,0.0,18368.6019411279,29637.5493632368,48006.1513043646,51104.7067316822,144931.737031419,0.0,0.0,8994.69219021146,196036.443763101,205031.135953313,373985
686,2022-03-03,"1,680.25","1,690.25","1,707.50","1,683.50",1.59K,0.16%,port1105,Rizhao,China,CHN,0,4,1,0,0,5,5,0.0,165934.55306187,1372.58229406048,0.0,0.0,167307.13535593,167307.13535593,0.0,19056.4051811095,0.0,0.0,0.0,19056.4051811095,19056.4051811095,251780,port1160,Santos,Brazil,BRA,5,2,3,0,1,10,11,79442.9217865005,20734.5628281668,1383.99032703966,0.0,0.0,101561.474941707,101561.474941707,62264.0045019555,2769.3090341815,19533.1830680953,0.0,4147.59533401404,84566.4966042323,88714.0919382463,373987
685,2022-03-04,"1,676.25","1,684.00","1,700.25","1,659.25",0.31K,-0.24%,port1105,Rizhao,China,CHN,1,0,1,0,0,2,2,815.387121662679,0.0,0.0,0.0,0.0,815.387121662679,815.387121662679,8744.89123590795,0.0,16610.2249372229,0.0,0.0,25355.1161731308,25355.1161731308,251788,port1160,Santos,Brazil,BRA,2,6,1,0,2,9,11,0.0,14175.7596738597,0.0,0.0,9529.44698916241,14175.7596738597,23705.2066630221,57205.1743906726,126221.153724558,1614.87555391885,0.0,398.430894739256,185041.203669149,185439.634563889,373989
684,2022-03-07,"1,674.25","1,696.50","1,706.25","1,675.00",0.30K,-0.12%,port1105,Rizhao,China,CHN,0,2,2,0,1,4,5,0.0,148016.368680131,0.0,0.0,791.822637987268,148016.368680131,148808.191318118,0.0,0.0,9379.85367632015,0.0,125.372322323307,9379.85367632015,9505.22599864346,251803,port1160,Santos,Brazil,BRA,8,5,2,0,2,15,17,20890.2905687706,0.0,0.0,0.0,5580.28921605845,20890.2905687706,26470.5797848291,72451.3372735133,142468.454657114,25095.7452342429,0.0,3766.56444460161,240015.53716487,243782.101609472,373996
683,2022-03-08,"1,704.50","1,674.50","1,708.00","1,674.25",0.24K,1.81%,port1105,Rizhao,China,CHN,0,8,0,0,0,8,8,0.0,261879.56677168,0.0,0.0,0.0,261879.56677168,261879.56677168,0.0,14794.0413185375,0.0,0.0,0.0,14794.0413185375,14794.0413185375,251807,port1160,Santos,Brazil,BRA,5,9,1,0,3,15,18,33203.9734198422,28095.374968507,479.234620134714,0.0,534.057085876295,61778.5830084839,62312.6400943602,50559.7706073679,149896.515033825,0.0,0.0,7732.10908671193,200456.285641193,208188.394727905,373997
682,2022-03-09,"1,686.50","1,727.75","1,745.25","1,684.50",0.57K,-1.06%,port1105,Rizhao,China,CHN,0,3,1,0,0,4,4,0.0,96720.2216064525,0.0,0.0,0.0,96720.2216064525,96720.2216064525,0.0,0.0,9645.67479029603,0.0,0.0,9645.67479029603,9645.67479029603,251811,port1160,Santos,Brazil,BRA,4,7,2,0,2,13,15,5027.72111692734,9965.77633791437,0.0,0.0,0.0,14993.4974548417,14993.4974548417,31075.773604994,145960.209461102,29962.4689257255,0.0,0.0,206998.451991821,206998.451991821,373998
