,date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
1091823,2019/02/24 00:00:00+00,2019,2,24,port183,Buenaventura,Colombia,COL,4,1,0,0,1,5,6,5758.76167367995,1640.64881991703,0.0,0.0,0.0,7399.41049359698,7399.41049359698,965.563151011425,0.0,0.0,0.0,1240.25264745756,965.563151011425,2205.81579846899,1091824
1091829,2019/02/25 00:00:00+00,2019,2,25,port183,Buenaventura,Colombia,COL,1,1,0,1,0,3,3,2285.73686806257,0.0,0.0,1891.78121089601,0.0,4177.51807895858,4177.51807895858,0.0,16207.4180512149,0.0,0.0,0.0,16207.4180512149,16207.4180512149,1091830
1091863,2019/02/26 00:00:00+00,2019,2,26,port183,Buenaventura,Colombia,COL,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091864
1091868,2019/02/27 00:00:00+00,2019,2,27,port183,Buenaventura,Colombia,COL,1,0,0,0,0,1,1,5534.62786794018,0.0,0.0,0.0,0.0,5534.62786794018,5534.62786794018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091869
1091901,2019/02/28 00:00:00+00,2019,2,28,port183,Buenaventura,Colombia,COL,4,2,0,0,1,6,7,19701.8918957993,32439.4990610254,0.0,0.0,271.754265110267,52141.3909568247,52413.145221935,14135.7388960499,0.0,0.0,0.0,0.0,14135.7388960499,14135.7388960499,1091902
1091905,2019/03/01 00:00:00+00,2019,3,1,port183,Buenaventura,Colombia,COL,4,0,0,0,0,4,4,1374.65780883265,0.0,0.0,0.0,0.0,1374.65780883265,1374.65780883265,16808.9727267693,0.0,0.0,0.0,0.0,16808.9727267693,16808.9727267693,1091906
1091909,2019/03/02 00:00:00+00,2019,3,2,port183,Buenaventura,Colombia,COL,1,0,0,1,0,2,2,24999.348556199,0.0,0.0,0.0,0.0,24999.348556199,24999.348556199,0.0,0.0,0.0,570.345395055963,0.0,570.345395055963,570.345395055963,1091910
1091913,2019/03/03 00:00:00+00,2019,3,3,port183,Buenaventura,Colombia,COL,3,0,0,0,0,3,3,41597.7839063216,0.0,0.0,0.0,0.0,41597.7839063216,41597.7839063216,269.113427670598,0.0,0.0,0.0,0.0,269.113427670598,269.113427670598,1091914
1091923,2019/03/04 00:00:00+00,2019,3,4,port183,Buenaventura,Colombia,COL,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091924
1091927,2019/03/05 00:00:00+00,2019,3,5,port183,Buenaventura,Colombia,COL,1,0,0,1,0,2,2,13990.0968907206,0.0,0.0,550.618160660299,0.0,14540.7150513809,14540.7150513809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091928
1091931,2019/03/06 00:00:00+00,2019,3,6,port183,Buenaventura,Colombia,COL,3,1,0,0,1,4,5,22025.6886027151,3215.33307745707,0.0,0.0,5354.17883392823,25241.0216801721,30595.2005141004,18746.0916132306,0.0,0.0,0.0,0.0,18746.0916132306,18746.0916132306,1091932
1091934,2019/03/07 00:00:00+00,2019,3,7,port183,Buenaventura,Colombia,COL,4,1,0,1,0,6,6,23291.5224119458,0.0,0.0,2710.98197276378,0.0,26002.5043847095,26002.5043847095,12696.1365444973,13075.5334338712,0.0,0.0,0.0,25771.6699783685,25771.6699783685,1091935
