,Date,Price,Open,High,Low,Vol.,Change %,portid_buenaventura,portname_buenaventura,country_buenaventura,ISO3_buenaventura,portcalls_container_buenaventura,portcalls_dry_bulk_buenaventura,portcalls_general_cargo_buenaventura,portcalls_roro_buenaventura,portcalls_tanker_buenaventura,portcalls_cargo_buenaventura,portcalls_buenaventura,import_container_buenaventura,import_dry_bulk_buenaventura,import_general_cargo_buenaventura,import_roro_buenaventura,import_tanker_buenaventura,import_cargo_buenaventura,import_buenaventura,export_container_buenaventura,export_dry_bulk_buenaventura,export_general_cargo_buenaventura,export_roro_buenaventura,export_tanker_buenaventura,export_cargo_buenaventura,export_buenaventura,ObjectId_buenaventura,portid_neworleans,portname_neworleans,country_neworleans,ISO3_neworleans,portcalls_container_neworleans,portcalls_dry_bulk_neworleans,portcalls_general_cargo_neworleans,portcalls_roro_neworleans,portcalls_tanker_neworleans,portcalls_cargo_neworleans,portcalls_neworleans,import_container_neworleans,import_dry_bulk_neworleans,import_general_cargo_neworleans,import_roro_neworleans,import_tanker_neworleans,import_cargo_neworleans,import_neworleans,export_container_neworleans,export_dry_bulk_neworleans,export_general_cargo_neworleans,export_roro_neworleans,export_tanker_neworleans,export_cargo_neworleans,export_neworleans,ObjectId_neworleans
1192,2020-02-14,111.35,106.45,111.6,105.85,34.28K,4.36%,port183,Buenaventura,Colombia,COL,0,2,0,0,0,2,2,0.0,22399.2724369598,0.0,0.0,0.0,22399.2724369598,22399.2724369598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092261,port812,New Orleans,United States,USA,2,14,0,0,9,16,25,0.0,31933.1555328059,0.0,0.0,10346.4530823045,31933.1555328059,42279.6086151104,4860.79824135989,212191.708462502,0.0,0.0,78887.8607102766,217052.506703862,295940.367414138,3124275
1191,2020-02-18,108.85,112.0,113.8,106.7,52.07K,-2.25%,port183,Buenaventura,Colombia,COL,0,1,0,0,0,1,1,0.0,7470.44949183591,0.0,0.0,0.0,7470.44949183591,7470.44949183591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092273,port812,New Orleans,United States,USA,0,6,2,0,4,8,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124412.37065005,9680.44580021653,0.0,17756.3802152409,134092.816450266,151849.196665507,3124291
1190,2020-02-19,109.0,108.5,110.05,107.55,37.95K,0.14%,port183,Buenaventura,Colombia,COL,2,1,0,0,0,3,3,16394.907514172,3761.95719656759,0.0,0.0,0.0,20156.8647107395,20156.8647107395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092275,port812,New Orleans,United States,USA,1,3,0,0,3,4,7,0.0,17636.2045356521,0.0,0.0,13610.835695018,17636.2045356521,31247.0402306701,12056.0061581953,19531.8978891817,0.0,0.0,8123.70510841966,31587.904047377,39711.6091557967,3124295
1189,2020-02-20,104.95,108.85,108.85,104.8,32.31K,-3.72%,port183,Buenaventura,Colombia,COL,1,2,0,0,0,3,3,10028.5547606909,30145.5094007881,0.0,0.0,0.0,40174.064161479,40174.064161479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092277,port812,New Orleans,United States,USA,1,4,0,0,10,5,15,0.0,5286.4367367928,0.0,0.0,8233.17982666001,5286.4367367928,13519.6165634528,1980.51183298936,22892.6878251709,0.0,0.0,64799.9542175622,24873.1996581602,89673.1538757224,3124299
1188,2020-02-21,110.25,105.55,111.2,105.45,37.33K,5.05%,port183,Buenaventura,Colombia,COL,1,1,1,1,0,4,4,12978.9656212535,16128.1252195825,3148.1703587318,1098.20364946355,0.0,33353.4648490313,33353.4648490313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092280,port812,New Orleans,United States,USA,3,7,1,0,18,11,29,274.150327929349,16911.209376259,478.650239821195,0.0,24741.8309632254,17664.0099440095,42405.840907235,14689.1029558573,95273.7463194309,0.0,0.0,127950.088927635,109962.849275288,237912.938202923,3124302
1187,2020-02-24,106.9,108.75,108.75,104.95,31.64K,-3.04%,port183,Buenaventura,Colombia,COL,2,3,0,0,0,5,5,7487.240892268,37536.1181120099,0.0,0.0,0.0,45023.3590042779,45023.3590042779,3022.15631896749,6948.95866456917,0.0,0.0,0.0,9971.11498353666,9971.11498353666,1092289,port812,New Orleans,United States,USA,2,6,1,0,12,9,21,0.0,2008.22572123754,6425.15751945174,0.0,7342.19655049099,8433.38324068928,15775.5797911803,23648.0202290914,98150.0083678558,0.0,0.0,117128.39879043,121798.028596947,238926.427387377,3124312
1186,2020-02-25,108.5,108.3,108.85,105.05,22.68K,1.50%,port183,Buenaventura,Colombia,COL,2,2,0,0,1,4,5,11966.1935580324,9742.26714403423,0.0,0.0,4130.68289420005,21708.4607020666,25839.1435962667,1513.73519821948,12261.2598435028,0.0,0.0,0.0,13774.9950417223,13774.9950417223,1092292,port812,New Orleans,United States,USA,2,7,1,0,8,10,18,0.0,332.522075744281,3612.85009266033,0.0,18905.8963044533,3945.37216840461,22851.2684728579,5957.65724915013,90525.3050204612,2648.35775524066,0.0,66969.2216358116,99131.3200248519,166100.541660664,3124316
1185,2020-02-26,110.65,108.0,111.5,106.0,32.99K,1.98%,port183,Buenaventura,Colombia,COL,1,1,0,0,1,2,3,0.0,964.402509430256,0.0,0.0,4239.35773200755,964.402509430256,5203.76024143781,9398.65023563465,0.0,0.0,0.0,0.0,9398.65023563465,9398.65023563465,1092295,port812,New Orleans,United States,USA,1,5,4,0,5,10,15,1057.51535440351,27204.4079688466,23142.6398822833,0.0,13091.4389155008,51404.5632055334,64496.0021210342,0.0,52685.8808661678,6773.31256571892,0.0,33472.0556198865,59459.1934318867,92931.2490517733,3124320
1184,2020-02-27,109.75,109.9,113.1,109.2,36.00K,-0.81%,port183,Buenaventura,Colombia,COL,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092298,port812,New Orleans,United States,USA,2,5,2,0,8,9,17,0.0,35223.0840230676,0.0,0.0,61575.0337894658,35223.0840230676,96798.1178125334,2957.44041708562,55654.7976073347,36180.3910406933,0.0,26182.6365605753,94792.6290651136,120975.265625689,3124324
1183,2020-02-28,111.35,108.6,112.25,106.85,32.46K,1.46%,port183,Buenaventura,Colombia,COL,1,0,0,0,1,1,2,14031.3016616223,0.0,0.0,0.0,0.0,14031.3016616223,14031.3016616223,0.0,0.0,0.0,0.0,242.754901960783,0.0,242.754901960783,1092301,port812,New Orleans,United States,USA,3,4,1,0,2,8,10,487.904710920844,682.526366650869,0.0,0.0,0.0,1170.43107757171,1170.43107757171,9493.64918151591,30112.9554382917,1423.30585829311,0.0,4020.55188082557,41029.9104781007,45050.4623589263,3124328
