"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2022","107.57","108.21","109.71","107.47","11.27M","-3.21%"
"01/06/2022","111.14","110.00","111.88","109.99","6.10M","0.63%"
"01/05/2022","110.44","114.40","114.96","110.40","8.66M","-3.33%"
"01/04/2022","114.24","116.90","117.05","114.17","8.37M","-2.09%"
"01/03/2022","116.68","116.47","117.80","114.78","5.48M","-0.25%"
"12/31/2021","116.97","115.67","117.48","115.60","3.67M","0.63%"
"12/30/2021","116.24","116.38","117.34","116.08","4.07M","-0.12%"
"12/29/2021","116.38","115.40","116.96","115.31","4.22M","0.70%"
"12/28/2021","115.57","114.00","116.28","113.81","4.56M","1.18%"
"12/27/2021","114.22","112.60","114.37","112.39","3.72M","1.65%"
"12/23/2021","112.37","112.23","112.91","111.99","3.36M","0.56%"
"12/22/2021","111.74","110.20","111.78","110.00","3.64M","1.24%"
"12/21/2021","110.37","109.00","110.90","108.87","4.68M","2.11%"
"12/20/2021","108.09","107.07","108.12","106.61","6.31M","-0.50%"
"12/17/2021","108.63","111.27","111.80","108.22","13.72M","-4.37%"
"12/16/2021","113.59","115.00","115.40","113.22","7.54M","-0.95%"
"12/15/2021","114.68","114.81","115.20","112.75","6.90M","-0.03%"
"12/14/2021","114.71","114.57","115.30","114.03","6.85M","-0.74%"
"12/13/2021","115.56","116.16","116.83","115.22","6.48M","-1.00%"
"12/10/2021","116.73","115.82","117.09","115.78","6.11M","1.20%"
"12/09/2021","115.35","115.80","116.41","115.24","5.66M","-0.77%"
"12/08/2021","116.25","115.78","116.65","115.15","5.81M","-0.01%"
"12/07/2021","116.26","115.06","117.19","114.79","8.79M","2.56%"
"12/06/2021","113.36","112.01","114.17","111.71","8.28M","1.91%"
"12/03/2021","111.24","111.85","112.85","110.08","7.01M","-0.16%"
"12/02/2021","111.42","109.17","112.08","109.17","7.71M","2.54%"
"12/01/2021","108.66","110.96","113.35","108.55","7.62M","-0.89%"
"11/30/2021","109.64","109.55","111.09","109.05","9.48M","-0.98%"
"11/29/2021","110.73","111.36","111.69","109.62","7.11M","0.06%"
"11/26/2021","110.66","110.01","110.83","109.25","6.70M","-2.90%"
"11/24/2021","113.97","113.41","114.26","113.08","4.46M","0.34%"
"11/23/2021","113.58","112.00","114.11","111.78","7.91M","1.91%"
"11/22/2021","111.45","111.11","112.59","110.67","5.97M","0.60%"
"11/19/2021","110.78","112.73","112.90","109.77","6.92M","-1.88%"
"11/18/2021","112.90","112.12","113.23","111.34","5.64M","0.34%"
"11/17/2021","112.52","112.22","113.11","111.66","5.77M","0.26%"
"11/16/2021","112.23","112.28","113.11","111.50","7.96M","0.32%"
"11/15/2021","111.87","112.12","113.65","111.58","6.57M","0.13%"
"11/12/2021","111.72","111.74","112.24","111.09","7.35M","0.25%"
"11/11/2021","111.44","113.25","113.25","110.54","7.19M","-1.60%"
"11/10/2021","113.25","112.90","114.46","112.60","6.56M","-0.77%"
"11/09/2021","114.13","114.65","115.60","113.37","6.75M","-0.89%"
"11/08/2021","115.16","116.52","117.47","114.57","8.75M","-1.50%"
"11/05/2021","116.91","113.24","117.33","113.14","10.26M","4.24%"
"11/04/2021","112.16","111.60","112.42","110.93","8.21M","-0.40%"
"11/03/2021","112.61","111.33","112.92","110.11","6.42M","1.04%"
"11/02/2021","111.45","110.25","111.82","109.79","11.54M","1.50%"
"11/01/2021","109.80","107.22","110.15","107.20","14.18M","3.52%"
"10/29/2021","106.07","107.50","107.99","104.02","27.42M","-6.30%"
"10/28/2021","113.20","113.74","114.60","112.46","7.70M","-0.27%"
"10/27/2021","113.51","115.57","115.57","113.08","5.85M","-1.23%"
"10/26/2021","114.92","114.92","115.28","114.25","5.95M","0.18%"
"10/25/2021","114.71","114.74","114.88","113.36","4.29M","0.14%"
"10/22/2021","114.55","114.41","114.98","114.07","3.40M","0.10%"
"10/21/2021","114.44","113.93","114.56","113.61","3.68M","0.51%"
"10/20/2021","113.86","113.06","115.11","112.71","7.65M","0.33%"
"10/19/2021","113.49","113.74","114.54","112.76","5.80M","0.11%"
"10/18/2021","113.37","111.44","113.57","110.96","4.96M","1.72%"
