,date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
3124350,2020/11/05 00:00:00+00,2020,11,5,port812,New Orleans,United States,USA,1,8,0,0,6,9,15,0.0,5822.21902359236,0.0,0.0,4582.13363949255,5822.21902359236,10404.3526630849,4757.3609082039,136033.49101901,0.0,0.0,32879.2150904545,140790.851927214,173670.067017668,3124351
3124354,2020/11/06 00:00:00+00,2020,11,6,port812,New Orleans,United States,USA,2,4,0,1,6,7,13,0.0,0.0,0.0,0.0,64599.7646022088,0.0,64599.7646022088,10020.3575938492,12405.317760169,0.0,0.0,2493.97521394725,22425.6753540182,24919.6505679654,3124355
3124358,2020/11/07 00:00:00+00,2020,11,7,port812,New Orleans,United States,USA,1,8,2,0,1,11,12,0.0,28294.1421495373,15000.8605937253,0.0,0.0,43295.0027432626,43295.0027432626,5473.90827456897,61834.7430436078,4942.698055878,0.0,1558.23154002073,72251.3493740547,73809.5809140755,3124359
3124361,2020/11/08 00:00:00+00,2020,11,8,port812,New Orleans,United States,USA,1,7,0,0,9,8,17,657.214444539692,12365.5100159086,0.0,0.0,26306.9315488887,13022.7244604483,39329.656009337,0.0,134272.858042472,0.0,0.0,52796.6123983304,134272.858042472,187069.470440802,3124362
3124363,2020/11/09 00:00:00+00,2020,11,9,port812,New Orleans,United States,USA,2,5,1,0,5,8,13,14.0973438095449,10068.0473508178,0.0,0.0,0.0,10082.1446946274,10082.1446946274,8026.60890116294,112970.369643152,17764.0539702122,0.0,9724.75563193367,138761.032514527,148485.788146461,3124364
3124365,2020/11/10 00:00:00+00,2020,11,10,port812,New Orleans,United States,USA,1,5,3,0,1,9,10,0.0,19580.4959477518,1135.67236989059,0.0,0.0,20716.1683176424,20716.1683176424,1922.0865912763,94354.6800322379,9525.23131792913,0.0,2065.29098455879,105801.997941443,107867.288926002,3124366
3124368,2020/11/11 00:00:00+00,2020,11,11,port812,New Orleans,United States,USA,2,1,0,0,5,3,8,751.709374785532,0.0,0.0,0.0,2741.07502286727,751.709374785532,3492.78439765281,4650.48717306427,26971.3612785424,0.0,0.0,21371.8624392077,31621.8484516066,52993.7108908143,3124369
3124400,2020/11/12 00:00:00+00,2020,11,12,port812,New Orleans,United States,USA,2,11,0,0,4,13,17,1525.87949245225,30887.0434312342,0.0,0.0,0.0,32412.9229236864,32412.9229236864,3341.72920012145,287083.026521874,0.0,0.0,25385.336166749,290424.755721996,315810.091888745,3124401
3124401,2020/11/13 00:00:00+00,2020,11,13,port812,New Orleans,United States,USA,0,10,2,0,7,12,19,0.0,7218.67409766439,18624.5289801277,0.0,7152.34135889605,25843.2030777921,32995.5444366882,0.0,197494.65275784,0.0,0.0,38364.9697390619,197494.65275784,235859.622496902,3124402
3124402,2020/11/14 00:00:00+00,2020,11,14,port812,New Orleans,United States,USA,2,8,1,0,4,11,15,0.0,10946.8067712178,1292.42715636223,0.0,0.0,12239.23392758,12239.23392758,8207.63670003627,76998.9197955162,0.0,0.0,10593.4906893657,85206.5564955525,95800.0471849182,3124403
3124404,2020/11/15 00:00:00+00,2020,11,15,port812,New Orleans,United States,USA,1,7,2,0,5,10,15,0.0,57823.8389777046,1588.28703933662,0.0,2242.54686110028,59412.1260170412,61654.6728781415,10448.5001676878,114155.046472485,8858.085434179,0.0,10500.1979106335,133461.632074352,143961.829984985,3124405
3124405,2020/11/16 00:00:00+00,2020,11,16,port812,New Orleans,United States,USA,2,6,0,0,5,8,13,0.0,22733.7827721917,0.0,0.0,17154.9177427713,22733.7827721917,39888.700514963,13601.7990496134,139843.924034276,0.0,0.0,38527.6368198912,153445.723083889,191973.35990378,3124406
3124407,2020/11/17 00:00:00+00,2020,11,17,port812,New Orleans,United States,USA,2,8,1,1,7,12,19,0.0,14362.9465653264,5028.71634565579,0.0,34004.8441364413,19391.6629109822,53396.5070474235,11351.0975807506,166757.767506974,0.0,0.0,65277.4375125894,178108.865087724,243386.302600314,3124408
3124409,2020/11/18 00:00:00+00,2020,11,18,port812,New Orleans,United States,USA,1,7,0,0,5,8,13,986.45604675349,27726.4581051948,0.0,0.0,9724.30916231654,28712.9141519483,38437.2233142648,0.0,104678.155614647,0.0,0.0,23445.9889011759,104678.155614647,128124.144515823,3124410
3124411,2020/11/19 00:00:00+00,2020,11,19,port812,New Orleans,United States,USA,3,8,1,0,8,12,20,868.307347509675,8570.51792121716,0.0,0.0,37724.2419118129,9438.82526872684,47163.0671805397,11828.6867372822,144596.005507959,5296.50199518605,0.0,18349.889268765,161721.194240427,180071.083509192,3124412
3124413,2020/11/20 00:00:00+00,2020,11,20,port812,New Orleans,United States,USA,1,8,0,0,8,9,17,0.0,21201.2207149213,0.0,0.0,17870.1345495459,21201.2207149213,39071.3552644671,1716.1503939851,135536.354123638,0.0,0.0,64173.2224170936,137252.504517623,201425.726934717,3124414
3124415,2020/11/21 00:00:00+00,2020,11,21,port812,New Orleans,United States,USA,1,4,1,0,6,6,12,0.0,12670.4744779377,0.0,0.0,4238.34970814744,12670.4744779377,16908.8241860852,431.554573288573,1549.41580974565,174.751405577073,0.0,33819.2619517025,2155.72178861129,35974.9837403138,3124416
3124417,2020/11/22 00:00:00+00,2020,11,22,port812,New Orleans,United States,USA,2,9,1,0,4,12,16,0.0,4065.04805013222,0.0,0.0,0.0,4065.04805013222,4065.04805013222,2132.10121174651,112740.511684189,0.0,0.0,23531.3303395843,114872.612895936,138403.94323552,3124418
3124468,2020/11/23 00:00:00+00,2020,11,23,port812,New Orleans,United States,USA,2,8,2,0,2,12,14,0.0,76663.0412638974,12402.0350484912,0.0,0.0,89065.0763123887,89065.0763123887,13759.4125460395,35672.5788862317,6881.02161079931,0.0,11667.8280846889,56313.0130430705,67980.8411277594,3124469
3124477,2020/11/24 00:00:00+00,2020,11,24,port812,New Orleans,United States,USA,1,8,3,0,6,12,18,0.0,0.0,12262.0444915554,0.0,1427.57144168689,12262.0444915554,13689.6159332422,876.918201349225,167424.368413263,3690.93000285147,0.0,31325.3604187525,171992.216617464,203317.577036216,3124478
3124484,2020/11/25 00:00:00+00,2020,11,25,port812,New Orleans,United States,USA,1,8,0,0,5,9,14,0.0,30828.0108251309,0.0,0.0,42452.8798764333,30828.0108251309,73280.8907015641,6659.81185844163,205539.998949927,0.0,0.0,6494.95779845341,212199.810808369,218694.768606822,3124485
